rep	ll	param	est	se	ci_low	ci_high
1	-2242.278706161022	nu1	4.991660098216567	0.0002523715917729259	4.991165449896692	4.992154746536442
1	-2242.278706161022	nu2	2.341878670158185	6.725614277128389e-07	2.3418773519377867	2.341879988378583
1	-2242.278706161022	T1	0.005477791541463926	2.2715866662851817e-06	0.005473339231598007	0.005482243851329845
1	-2242.278706161022	T2	0.0562039242112629	1.7802261001081754e-08	0.056203889318831336	0.05620395910369446
1	-2242.278706161022	m12	0.005703631526912695	0.0005063674388051632	0.004711151346854575	0.006696111706970815
1	-2242.278706161022	m21	0.0034779739899765774	0.0002646448683959622	0.0029592700479204913	0.003996677932032663
2	-2242.2284861743424	nu1	5.065353827093329	1.1878874098081157e-05	5.065330544500097	5.065377109686561
2	-2242.2284861743424	nu2	2.2872704229254204	1.676210095177982e-05	2.287237569207555	2.2873032766432857
2	-2242.2284861743424	T1	0.061666793897127696	7.521306502635321e-07	0.06166531972105318	0.06166826807320221
2	-2242.2284861743424	T2	0.0001	8.54204380231163e-07	9.832575941474693e-05	0.00010167424058525308
2	-2242.2284861743424	m12	0.00211191239356018	8.322638063981518e-05	0.0019487886875061424	0.0022750360996142177
2	-2242.2284861743424	m21	0.0013945515999523952	0.00010497775627041647	0.001188795197662379	0.0016003080022424115
3	-2242.0085135107074	nu1	5.07033146363099	0.0005568092166435762	5.069240117566369	5.071422809695611
3	-2242.0085135107074	nu2	2.286186012678994	0.0001134527669102677	2.28596364525585	2.2864083801021384
3	-2242.0085135107074	T1	0.0001	1.6438258141281075e-06	9.677810140430891e-05	0.0001032218985956911
3	-2242.0085135107074	T2	0.061703437379785654	4.517100755034423e-06	0.06169458386230579	0.06171229089726552
3	-2242.0085135107074	m12	1e-06	0.002182847067555131	-0.004277380252408057	0.004279380252408057
3	-2242.0085135107074	m21	0.008959546382712472	0.0012732712362028987	0.00646393475975479	0.011455158005670154
4	-2242.205709761103	nu1	4.999644266312664	3.670754063680184e-05	4.999572319533017	4.999716213092312
4	-2242.205709761103	nu2	2.317725267695027	3.0386319315685458e-06	2.317719311976441	2.3177312234136127
4	-2242.205709761103	T1	0.05562649875427721	2.9663626925298014e-08	0.05562644061356843	0.05562655689498598
4	-2242.205709761103	T2	0.006362887603989748	5.208220729109061e-07	0.006361866792726843	0.006363908415252653
4	-2242.205709761103	m12	4.42194112516809e-05	0.0042226441302131296	-0.008232163083966054	0.008320601906469414
4	-2242.205709761103	m21	0.0026250007107255276	0.005642061970856996	-0.008433440752154183	0.013683442173605238
5	-2242.2753697931157	nu1	4.982800516436677	1.3263226045892499e-05	4.982774520513627	4.982826512359726
5	-2242.2753697931157	nu2	2.307278646948691	3.271717057025966e-06	2.307272234383259	2.3072850595141228
5	-2242.2753697931157	T1	0.01847094694260895	2.7409612737655325e-08	0.018470893219767984	0.01847100066544992
5	-2242.2753697931157	T2	0.04294680783830081	7.895302058840335e-08	0.042946653090380454	0.04294696258622116
5	-2242.2753697931157	m12	0.0014871215062187025	4.595697792974785e-05	0.0013970458294763966	0.0015771971829610083
5	-2242.2753697931157	m21	8.700430502374607e-06	3.947895933987871e-05	-6.867832980378767e-05	8.607919080853687e-05
6	-2242.2248230270934	nu1	5.027019965727618	9.348709733514643e-05	5.026836731016841	5.027203200438395
6	-2242.2248230270934	nu2	2.329884481696068	1.472317232609325e-07	2.3298841931218908	2.3298847702702457
6	-2242.2248230270934	T1	0.024724355400880197	8.255891710571601e-07	0.024722737246104926	0.024725973555655468
6	-2242.2248230270934	T2	0.03727626791587747	1.9555996139117457e-09	0.03727626408290223	0.037276271748852716
6	-2242.2248230270934	m12	0.001206074559181163	0.0002979476728185377	0.0006220971204568291	0.001790051997905497
6	-2242.2248230270934	m21	0.001603144288327513	1.786003594460152e-05	0.001568138617876094	0.001638149958778932
7	-2242.0515380769466	nu1	5.046182908166788	3.935264026468248e-05	5.046105776991869	5.046260039341707
7	-2242.0515380769466	nu2	2.2962560135269023	7.543203994635458e-07	2.296254535058919	2.2962574919948855
7	-2242.0515380769466	T1	0.05266467063058253	1.4112542300720826e-07	0.05266439402475343	0.05266494723641162
7	-2242.0515380769466	T2	0.009184687162774272	6.920569990481801e-10	0.009184685806342553	0.00918468851920599
7	-2242.0515380769466	m12	0.0038056063883068966	0.0001763623319095507	0.003459936217764177	0.004151276558849616
7	-2242.0515380769466	m21	0.0034388734288797007	0.000114632545047111	0.0032141936405873633	0.003663553217172038
8	-2242.18533854126	nu1	5.011906381065896	4.31074314388685e-05	5.011821890500276	5.011990871631516
8	-2242.18533854126	nu2	2.3176566571600627	8.810713118585067e-08	2.3176564844700858	2.3176568298500397
8	-2242.18533854126	T1	0.02477523666948272	1.5833040916293707e-07	0.02477492634188076	0.024775546997084678
8	-2242.18533854126	T2	0.03708257574757929	3.3843526370916875e-10	0.03708257508424617	0.03708257641091241
8	-2242.18533854126	m12	0.00040974639554791685	0.00010943627112611769	0.00019525130414072619	0.0006242414869551075
8	-2242.18533854126	m21	0.0006092990164212411	6.093960740315983e-06	0.0005973548533702217	0.0006212431794722605
9	-2242.163196956714	nu1	5.192733130624429	2.9734701696384473e-05	5.192674850609104	5.192791410639754
9	-2242.163196956714	nu2	2.281259605162367	8.305068658773597e-06	2.2812433272277954	2.281275883096938
9	-2242.163196956714	T1	0.018244770218218985	4.323633782528077e-08	0.018244685474996847	0.018244854961441122
9	-2242.163196956714	T2	0.043639948328531936	5.565243788055478e-07	0.043638857540749476	0.043641039116314395
9	-2242.163196956714	m12	0.0018940419079542684	0.00043112735605496704	0.001049032290086533	0.0027390515258220037
9	-2242.163196956714	m21	0.00204934703792317	0.0006333282617294825	0.000808023644933384	0.0032906704309129554
10	-2242.4038162272977	nu1	5.087325075039489	4.333508439832269e-05	5.087240138274068	5.08741001180491
10	-2242.4038162272977	nu2	2.334070035296175	7.952712741462314e-08	2.334069879423005	2.334070191169345
10	-2242.4038162272977	T1	0.015204877357910117	1.712433839410638e-07	0.015204541720877592	0.015205212994942641
10	-2242.4038162272977	T2	0.04668220466918266	9.0189907383281e-10	0.046682202901460475	0.04668220643690484
10	-2242.4038162272977	m12	1e-06	8.937740443916004e-05	-0.0001741797127007537	0.0001761797127007537
10	-2242.4038162272977	m21	5.6728823749342036e-05	4.551145729312611e-06	4.780857811988932e-05	6.564906937879475e-05
11	-2241.98889631891	nu1	5.05668785419819	0.00014573794564495956	5.056402207824726	5.056973500571654
11	-2241.98889631891	nu2	2.284887787570671	1.9050063900628577e-06	2.2848840537581463	2.2848915213831953
11	-2241.98889631891	T1	0.01827860608407096	1.1467256429971002e-08	0.01827858360824836	0.018278628559893564
11	-2241.98889631891	T2	0.043372435505213594	1.3999923815650116e-06	0.04336969152014573	0.04337517949028146
11	-2241.98889631891	m12	0.0035307633136139223	0.00034895425889536804	0.002846812966179001	0.004214713661048843
11	-2241.98889631891	m21	0.0010313984315533562	0.0001357040912594131	0.0007654184126849066	0.0012973784504218058
12	-2242.2770850155734	nu1	5.202485249539997	9.007223447163055e-05	5.202308707960433	5.202661791119561
12	-2242.2770850155734	nu2	2.2862827765074223	3.140554195916712e-07	2.2862821609588	2.2862833920560446
12	-2242.2770850155734	T1	0.016017409670156482	4.737979434752989e-07	0.01601648102618727	0.016018338314125694
12	-2242.2770850155734	T2	0.04571977919928619	4.411043119122776e-09	0.045719770553641674	0.0457197878449307
12	-2242.2770850155734	m12	0.0014981117040232437	0.00014508152437370047	0.0012137519162507908	0.0017824714917956965
12	-2242.2770850155734	m21	0.00021153863812367268	6.909530250861428e-05	7.611184520678869e-05	0.0003469654310405567
13	-2241.994424252426	nu1	5.113261683128056	2.49937919486021e-06	5.113256784344834	5.113266581911278
13	-2241.994424252426	nu2	2.2723186355968568	1.402603566516095e-07	2.272318360686558	2.2723189105071557
13	-2241.994424252426	T1	0.01642863182508113	2.633911986631438e-07	0.01642811557833175	0.01642914807183051
13	-2241.994424252426	T2	0.04543506783842621	3.6766331477240687e-10	0.045435067117806115	0.04543506855904631
13	-2241.994424252426	m12	0.001822017906077626	3.840533326612576e-05	0.0017467434528760195	0.0018972923592792323
13	-2241.994424252426	m21	0.004504819942117076	3.368086651539072e-06	0.00449821849228006	0.004511421391954093
14	-2242.5258359734794	nu1	5.061093045052267	0.0002770246372538082	5.06055007676325	5.0616360133412845
14	-2242.5258359734794	nu2	2.3516535088918165	5.365730980332756e-07	2.3516524572085444	2.3516545605750885
14	-2242.5258359734794	T1	0.005423988783090978	1.829246868051653e-06	0.005420403459229597	0.0054275741069523585
14	-2242.5258359734794	T2	0.056438302652474764	1.4444828952402934e-08	0.056438274340610016	0.05643833096433951
14	-2242.5258359734794	m12	0.0025249073199522637	0.0005973043084983643	0.0013541908752954697	0.003695623764609058
14	-2242.5258359734794	m21	0.0015125384976990427	0.00010494308524948424	0.0013068500506100535	0.0017182269447880319
15	-2242.020462745571	nu1	5.094018589262909	1.8275599045287994e-05	5.09398276908878	5.094054409437038
