K	rep	IID	species	cluster	q	maxQ	order
2	4	ANWC_B32623_trichroa	trichroa	1	1e-5	0.99999	11
2	4	ANWC_B32623_trichroa	trichroa	2	0.99999	0.99999	11
2	4	ANWC_B52739_trichroa	trichroa	1	1e-5	0.99999	12
2	4	ANWC_B52739_trichroa	trichroa	2	0.99999	0.99999	12
2	4	KU12254_trichroa	trichroa	1	0.462422	0.537578	25
2	4	KU12254_trichroa	trichroa	2	0.537578	0.537578	25
2	4	KU12301_trichroa	trichroa	1	0.463148	0.536852	26
2	4	KU12301_trichroa	trichroa	2	0.536852	0.536852	26
2	4	KU12846_trichroa	trichroa	1	1e-5	0.99999	13
2	4	KU12846_trichroa	trichroa	2	0.99999	0.99999	13
2	4	KU12856_papuana	papuana	1	0.99999	0.99999	1
2	4	KU12856_papuana	papuana	2	1e-5	0.99999	1
2	4	KU14618_papuana	papuana	1	0.99999	0.99999	2
2	4	KU14618_papuana	papuana	2	1e-5	0.99999	2
2	4	KU14621_papuana	papuana	1	0.99999	0.99999	3
2	4	KU14621_papuana	papuana	2	1e-5	0.99999	3
2	4	KU14622_papuana	papuana	1	0.99999	0.99999	4
2	4	KU14622_papuana	papuana	2	1e-5	0.99999	4
2	4	KU14624_papuana	papuana	1	0.99999	0.99999	5
2	4	KU14624_papuana	papuana	2	1e-5	0.99999	5
2	4	KU16064_papuana	papuana	1	0.99999	0.99999	6
2	4	KU16064_papuana	papuana	2	1e-5	0.99999	6
2	4	KU16071_trichroa	trichroa	1	0.401072	0.598928	22
2	4	KU16071_trichroa	trichroa	2	0.598928	0.598928	22
2	4	KU16075_trichroa	trichroa	1	1e-5	0.99999	14
2	4	KU16075_trichroa	trichroa	2	0.99999	0.99999	14
2	4	KU16086_trichroa	trichroa	1	0.400348	0.599652	21
2	4	KU16086_trichroa	trichroa	2	0.599652	0.599652	21
2	4	KU16234_trichroa	trichroa	1	0.39144	0.60856	20
2	4	KU16234_trichroa	trichroa	2	0.60856	0.60856	20
2	4	KU16434_papuana	papuana	1	0.99999	0.99999	7
2	4	KU16434_papuana	papuana	2	1e-5	0.99999	7
2	4	KU23619_trichroa	trichroa	1	1e-5	0.99999	15
2	4	KU23619_trichroa	trichroa	2	0.99999	0.99999	15
2	4	KU32805_trichroa	trichroa	1	1e-5	0.99999	16
2	4	KU32805_trichroa	trichroa	2	0.99999	0.99999	16
2	4	KU32819_trichroa	trichroa	1	0.260304	0.739696	19
2	4	KU32819_trichroa	trichroa	2	0.739696	0.739696	19
2	4	KU34978_trichroa	trichroa	1	0.421092	0.578908	23
2	4	KU34978_trichroa	trichroa	2	0.578908	0.578908	23
2	4	KU35027_trichroa	trichroa	1	1e-5	0.99999	17
2	4	KU35027_trichroa	trichroa	2	0.99999	0.99999	17
2	4	KU5270_papuana	papuana	1	0.99999	0.99999	8
2	4	KU5270_papuana	papuana	2	1e-5	0.99999	8
2	4	KU5274_papuana	papuana	1	0.99999	0.99999	9
2	4	KU5274_papuana	papuana	2	1e-5	0.99999	9
2	4	YPM151447_trichroa	trichroa	1	0.436838	0.563162	24
2	4	YPM151447_trichroa	trichroa	2	0.563162	0.563162	24
2	4	YPM151458_trichroa	trichroa	1	0.466139	0.533861	27
2	4	YPM151458_trichroa	trichroa	2	0.533861	0.533861	27
2	4	YPM151575_trichroa	trichroa	1	1e-5	0.99999	18
2	4	YPM151575_trichroa	trichroa	2	0.99999	0.99999	18
2	4	YPM151655_papuana	papuana	1	0.99999	0.99999	10
2	4	YPM151655_papuana	papuana	2	1e-5	0.99999	10
3	5	ANWC_B32623_trichroa	trichroa	1	0.99998	0.99998	11
3	5	ANWC_B32623_trichroa	trichroa	2	1e-5	0.99998	11
3	5	ANWC_B32623_trichroa	trichroa	3	1e-5	0.99998	11
3	5	ANWC_B52739_trichroa	trichroa	1	0.99998	0.99998	12
3	5	ANWC_B52739_trichroa	trichroa	2	1e-5	0.99998	12
3	5	ANWC_B52739_trichroa	trichroa	3	1e-5	0.99998	12
3	5	KU12254_trichroa	trichroa	1	1e-5	0.99998	13
3	5	KU12254_trichroa	trichroa	2	1e-5	0.99998	13
3	5	KU12254_trichroa	trichroa	3	0.99998	0.99998	13
3	5	KU12301_trichroa	trichroa	1	1e-5	0.99998	14
3	5	KU12301_trichroa	trichroa	2	0.99998	0.99998	14
3	5	KU12301_trichroa	trichroa	3	1e-5	0.99998	14
3	5	KU12846_trichroa	trichroa	1	0.203289	0.516526	27
3	5	KU12846_trichroa	trichroa	2	0.280185	0.516526	27
3	5	KU12846_trichroa	trichroa	3	0.516526	0.516526	27
3	5	KU12856_papuana	papuana	1	1e-5	0.99998	1
3	5	KU12856_papuana	papuana	2	0.99998	0.99998	1
3	5	KU12856_papuana	papuana	3	1e-5	0.99998	1
3	5	KU14618_papuana	papuana	1	1e-5	0.99998	2
3	5	KU14618_papuana	papuana	2	0.99998	0.99998	2
3	5	KU14618_papuana	papuana	3	1e-5	0.99998	2
3	5	KU14621_papuana	papuana	1	1e-5	0.99998	3
3	5	KU14621_papuana	papuana	2	0.99998	0.99998	3
3	5	KU14621_papuana	papuana	3	1e-5	0.99998	3
3	5	KU14622_papuana	papuana	1	1e-5	0.99998	4
3	5	KU14622_papuana	papuana	2	0.99998	0.99998	4
3	5	KU14622_papuana	papuana	3	1e-5	0.99998	4
3	5	KU14624_papuana	papuana	1	1e-5	0.99998	5
3	5	KU14624_papuana	papuana	2	0.99998	0.99998	5
3	5	KU14624_papuana	papuana	3	1e-5	0.99998	5
3	5	KU16064_papuana	papuana	1	1e-5	0.99998	6
3	5	KU16064_papuana	papuana	2	0.99998	0.99998	6
3	5	KU16064_papuana	papuana	3	1e-5	0.99998	6
3	5	KU16071_trichroa	trichroa	1	0.99998	0.99998	15
3	5	KU16071_trichroa	trichroa	2	1e-5	0.99998	15
3	5	KU16071_trichroa	trichroa	3	1e-5	0.99998	15
3	5	KU16075_trichroa	trichroa	1	0.99998	0.99998	16
3	5	KU16075_trichroa	trichroa	2	1e-5	0.99998	16
3	5	KU16075_trichroa	trichroa	3	1e-5	0.99998	16
3	5	KU16086_trichroa	trichroa	1	0.163045	0.562319	26
