V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27
0	0.103677	0.120873	0.123023	0.115405	0.115339	0.120946	0.120375	0.119277	0.118742	0.119804	0.118012	0.120226	0.11625	0.116745	0.117779	0.15759	0.12535	0.11875	0.117139	0.120856	0.119162	0.11565	0.119061	0.120218	0.12094	0.122493
0.103677	0	0.119474	0.122127	0.115869	0.114154	0.120434	0.120629	0.11816	0.119102	0.118895	0.118215	0.120853	0.116075	0.116841	0.117934	0.156667	0.124255	0.11939	0.116968	0.120759	0.117961	0.116592	0.118347	0.11951	0.119763	0.121451
0.120873	0.119474	-0	0.116986	0.11205	0.111152	0.116635	0.115808	0.113692	0.114852	0.114662	0.114633	0.117638	0.11217	0.113185	0.112928	0.154811	0.120356	0.11463	0.113093	0.116685	0.114254	0.111917	0.113986	0.114167	0.116372	0.118395
0.123023	0.122127	0.116986	-0	0.114557	0.112938	0.117849	0.118931	0.115469	0.116899	0.114964	0.11788	0.119052	0.113898	0.115216	0.114708	0.15492	0.122087	0.117915	0.114564	0.118047	0.115209	0.114369	0.116174	0.115514	0.118697	0.119083
0.115405	0.115869	0.11205	0.114557	0	0.106986	0.112972	0.113143	0.111122	0.111541	0.112071	0.109631	0.11268	0.108426	0.109197	0.110505	0.150401	0.117992	0.111251	0.108238	0.112068	0.110339	0.108666	0.112065	0.11243	0.113044	0.114509
0.115339	0.114154	0.111152	0.112938	0.106986	-0	0.107693	0.106358	0.106244	0.105292	0.105836	0.109985	0.110853	0.106871	0.108842	0.103548	0.149913	0.116211	0.110134	0.107596	0.111049	0.103051	0.101866	0.109141	0.11079	0.111771	0.10822
0.120946	0.120434	0.116635	0.117849	0.112972	0.107693	0	0.112384	0.112163	0.110694	0.110615	0.11485	0.117431	0.113582	0.114266	0.109858	0.155648	0.120836	0.115646	0.113277	0.116695	0.109926	0.108136	0.115576	0.115401	0.119113	0.115216
0.120375	0.120629	0.115808	0.118931	0.113143	0.106358	0.112384	0	0.111232	0.110631	0.110875	0.115163	0.117563	0.111875	0.113583	0.108663	0.155255	0.121325	0.115272	0.112232	0.11501	0.108771	0.107942	0.11498	0.116173	0.116948	0.113972
0.119277	0.11816	0.113692	0.115469	0.111122	0.106244	0.112163	0.111232	-0	0.109923	0.109028	0.113155	0.115206	0.110638	0.112723	0.108682	0.154116	0.118515	0.114424	0.110964	0.113885	0.108208	0.107253	0.112484	0.112481	0.115496	0.111321
0.118742	0.119102	0.114852	0.116899	0.111541	0.105292	0.110694	0.110631	0.109923	-0	0.109548	0.113049	0.115281	0.110879	0.112232	0.107592	0.153587	0.120993	0.114883	0.111273	0.114538	0.107416	0.106598	0.113665	0.114162	0.115771	0.112669
